BAIRRO;LATI;LONG
ABRANCHES;-25.3700893;-49.26972319999999
AHÚ;-25.4022638;-49.2597677
ALTO BOQUEIRÃO;-25.5294248;-49.2477612
ALTO DA GLÓRIA;-25.4171236;-49.2636423
ALTO DA RUA XV;-25.4267191;-49.2536113
ATUBA;-25.4026598;-49.18951999999999
AUGUSTA;-25.4536494;-49.3774036
BACACHERI;-25.3983092;-49.23536499999999
BAIRRO ALTO;-25.4072722;-49.2087704
BARREIRINHA;-25.3704043;-49.2609229
BATEL;-25.4432789;-49.2849756
BIGORRILHO;-25.4324134;-49.2949057
BOA VISTA;-25.388431;-49.2436516
BOM RETIRO;-25.4104456;-49.2754005
BOQUEIRÃO;-25.5030924;-49.2368174
BUTIATUVINHA;-25.3954932;-49.3471067
CABRAL;-25.4068248;-49.2514697
CACHOEIRA;-25.3538806;-49.2631583
CAJURU;-25.4542373;-49.2140822
CAMPINA DO SIQUEIRA;-25.437451;-49.30791840000001
CAMPO COMPRIDO;-25.4490103;-49.3342281
CAMPO DE SANTANA;-25.5919015;-49.33186509999999
CAPÃO DA IMBUIA;-25.4383392;-49.2197109
CAPÃO RASO;-25.5119069;-49.2973531
CASCATINHA;-25.4139773;-49.3106309
CAXIMBA;-25.6165464;-49.3541834
CENTRO;-25.4372427;-49.2699665
CENTRO CÍVICO;-25.4175207;-49.268557
CIDADE INDUSTRIAL DE CURITIBA;-25.4951772;-49.3426729
CRISTO REI;-25.4330754;-49.2441591
DESCONHECIDO;-25.4268985;-49.2651984
FANNY;-25.4833712;-49.2707445
FAZENDINHA;-25.4801571;-49.323413
GANCHINHO;-25.5545544;-49.2479062
GUABIROTUBA;-25.464806;-49.2444376
GUAÍRA;-25.4706075;-49.2743591
HAUER;-25.477644;-49.2493434
HUGO LANGE;-25.4175822;-49.2453953
JARDIM BOTÂNICO;-25.4414024;-49.24871779999999
JARDIM DAS AMÉRICAS;-25.4519251;-49.22959969999999
JARDIM SOCIAL;-25.4197061;-49.233531
JUVEVÊ;-25.4142674;-49.25858179999999
LAMENHA PEQUENA;-25.3718724;-49.3411284
LINDÓIA;-25.4799384;-49.2768823
MERCÊS;-25.4220935;-49.2918835
MOSSUNGUÊ;-25.4369557;-49.3230357
NOVO MUNDO;-25.4889991;-49.2941927
ORLEANS;-25.4275108;-49.35352839999999
PAROLIN;-25.4607807;-49.267153
PILARZINHO;-25.3962788;-49.28761970000001
PINHEIRINHO;-25.5278777;-49.2919284
PORTÃO;-25.4754701;-49.29309980000001
PRADO VELHO;-25.4521657;-49.2529523
REBOUÇAS;-25.443438;-49.2678749
RIVIERA;-25.4332089;-49.3766842
SANTA CÂNDIDA;-25.3689601;-49.2364719
SANTA FELICIDADE;-25.4007209;-49.33447280000001
SANTA QUITÉRIA;-25.4562173;-49.3075993
SANTO INÁCIO;-25.4275958;-49.3254021
SEMINÁRIO;-25.4494069;-49.3047803
SÃO BRAZ;-25.4189976;-49.34833769999999
SÃO FRANCISCO;-25.4233598;-49.27579859999999
SÃO JOÃO;-25.3954028;-49.3155505
SÃO LOURENÇO;-25.3913619;-49.2674234
SÃO MIGUEL;-25.5060337;-49.3550854
SÍTIO CERCADO;-25.5378818;-49.277686
TABOÃO;-25.3747432;-49.28038429999999
TARUMÃ;-25.4294024;-49.2370396
TATUQUARA;-25.5647079;-49.3284575
TINGUI;-25.3877178;-49.2202764
UBERABA;-25.4917404;-49.2150462
UMBARÁ;-25.5684068;-49.2838534
VILA IZABEL;-25.4549381;-49.2980531
VISTA ALEGRE;-25.4106251;-49.2919711
XAXIM;-25.5121062;-49.2593808
ÁGUA VERDE;-25.4500977;-49.2854547
